ID;Название;Тип постройки;Дата основания;Архитектор;Статус;Современный адрес;Краткое описание;Посвящение;lat;lon
3073;Часовня Александра Невского в Мурино;часовня;нач. 1880-х;нет данных;действ.;Ленинградская обл., Всеволожский р-н, с. Мурино, ул. Центральная;Небольшая квадратная в плане каменная шатровая часовня в русском стиле. Построена на пожертвования крестьян в память мученической кончины Александра II. В советское время в здании часовни располагалась керосиновая лавка. В 1997 возвращена верующим и отреставрирована. Приписана к Екатерининской церкви.;Александра Невского;60.04477;30.447446
16764;Церковь Иконы Божией Матери Смоленская в Новолисино;церковь;1850;1848: Гейденрейх Б. Б.;действ.;Ленинградская обл., Тосненский р-н, д. Мыза;Кирпичная церковь в русско-византийском стиле, близкая к проектам К. А. Тона, построенная в 1850-1857 на средства помещика Е. П. Вонлярского. Четырехстолпный пятишатровый храм, небольшой трапезной связанный с шатровой колокольней. В цокольном этаже Христорождественский престол. Закрыта в 1935. Возвращена верующим в 1990, отреставрирована.;"Иконы Божией Матери Смоленская; Рождества Христова";59.533583;30.605492
7378;Церковь Рождества Христова в Надкопанье;церковь;не позже XVI в.;1822-1828: Мельников А. И.;действ.;Ленинградская обл., Волховский р-н, д. Надкопанье;Каменная пятипрестольная церковь с Никольским, Благовещенским, Ильинским и Иоановским приделами. Построена вместо двух прежних церквей: каменной Христорождественской с Ильинским приделом и деревянной Благовещенской с Никольским приделом. В 1930-х закрыта, вновь возвращена верующим в конце 1990-х.;"Рождества Христова; Благовещения Пресвятой Богородицы; Илии Пророка; Иоанна, архиепископа Новгородского; Николая Чудотворца";60.420453;32.998063
7549;Часовня Николая Чудотворца в Надкопанье;часовня;;нет данных;действ.;Ленинградская обл., Волховский р-н, д. Надкопанье;Небольшая часовня в башенке ворот церковной ограды.;Николая Чудотворца;;
15177;Церковь Иконы Божией Матери Взыскание Погибших в Невской Дубровке;церковь;1994;2008-2010: Михалин В. В.;действ.;Ленинградская обл., Всеволожский р-н, пос. Невская Дубровка, ул. Советская, 38;"Приход образован в 1994, с 1999 богослужения проходили в специально оборудованном здании бывшего книжного магазина. С 2003 принято решение о строительстве новой каменной церкви, закладной камень освящён в 2008. Настоящая церковь выстроена в русском эклектичном стиле по проекту арх. В. Михалина в память о воинах, погибших в Великой Отечественной на ""Невском пятачке"".";Иконы Божией Матери Взыскание Погибших;59.848166;30.936813
15180;Часовня памятная в Невской Дубровке;часовня;2011;2011: Матвеев Б. Ю.;действ.;Ленинградская обл., Всеволожский р-н, пос. Невская Дубровка;"Часовня-сень из белого мрамора построена в память воинов, павшим в боях за Ленинград в Великой Отечественной войне, по инициативе общественной организации ""Ветераны военной контрразведки"". Освящение часовни состоялось 22 июня 2011.";;59.843166;30.941416
10248;Церковь Покрова Пресвятой Богородицы в усадьбе Богословка;церковь;2003;;действ.;"Ленинградская обл., Всеволожский р-н, Невский лесопарк (парковый комплекс ""Усадьба ""Богословка"")";Новопостроенная деревянная церковь с отдельно стоящей колокольней. Повторяет облик Покровской церкви Вытегорского погоста (1708), сгоревшей в 1963. Колокольня построена в 2007 по обмерам колокольни Нижне-Уфтюгского погоста (1670) Красноборского района Архангельской области. Попытка воссоздать яркий памятник русского деревянного зодчества.;Покрова Пресвятой Богородицы;59.82684;30.569193
19845;Часовня Спаса Нерукотворного Образа в усадьбе Богословке;часовня;2009;2009: Бодэ А. Б.;действ.;"Ленинградская обл., Всеволожский р-н, Невский лесопарк (парковый комплекс ""Усадьба ""Богословка"")";Деревянная часовня, построенная в 2009 и реконструирующая первоначальный облик часовни кон. XVIII - нач. XIX вв. в д. Кириллово Каргопольского района. Четверик, перекрытый двускатной кровлей с полицами, с главкой, с открытыми галереями с юга и запада.;Спаса Нерукотворного Образа;59.826906;30.568262
20448;Церковь Николая Чудотворца в Немятово;церковь;не позже 1849;Сер. 1870-х: Щурупов М. А. – перестройка (основной объем);сохр.;Ленинградская обл., Волховский р-н, д. Немятово (Немятово 1-е);Деревянная церковь, обшитая тесом. Построена в 1849 из прежде бывшей старообрядческой часовни, реконструирована в 1875-1876. Четверик под двускатной кровлей с главкой, с пятигранным алтарем, небольшой трапезной и шатровой колокольней. Закрыта в 1941. Разобрана в 2016, сохранился только фундамент.;Николая Чудотворца;60.114745;32.341252
20449;Часовня Ирины Священномученицы в Немятово;часовня;2004;нет данных;действ.;Ленинградская обл., Волховский р-н, д. Немятово (Немятово 1-е);Деревянная часовня, построенная в память усопших членов семьи Вороновых у немятовского кладбища, и освящённая 23 мая 2004. Прямоугольный сруб под двускатной кровлей с притвором. Приписана к Никольскому монастырю Старой Ладоги.;;60.117725;32.35168
33516;Часовня Николая Чудотворца в Немятово;часовня;2016;нет данных;действ.;Ленинградская обл., Волховский р-н, д. Немятово (Немятово 1-е);Деревянная часовня, восьмерик на восьмерике, увенчанный главой. Построена в 2016 рядом с местом разобранной Никольской церкви с частичным использованием материалов церкви.;Николая Чудотворца;60.114873;32.340056
3074;Часовня Николая Чудотворца в Нижних Осельках;часовня;нач. 1990-х;нет данных;действ.;Ленинградская обл., Всеволожский р-н, д. Нижние Осельки;Прямоугольная в плане каменная шатровая часовня с элементами русского стиля. Находится рядом с деревенским кладбищем. Приписана к Екатерининской церкви в Мурино.;Николая Чудотворца;60.225677;30.433636
18942;Церковь Александры Царицы в Низино;церковь;1851;1851-1854: Штакеншнейдер А. И.;действ.;Ленинградская обл., Ломоносовский р-н, пос. Низино;Пятиглавая однопрестольная церковь, построена по повелению император Николая I по проекту архитектора А. И. Штакеншнейдера. Закрыта в 1940, пострадала от бомбежек во время Великой Отечественной войны. В 1996 возвращена верующим, восстановлена.;Александры Царицы;59.841129;29.880119
30440;Церковь Иконы Божией Матери Казанская в Никольском;церковь;;нет данных;действ.;Ленинградская обл., Подпорожский р-н, пос. Никольский, ул. Лисицыной;;Иконы Божией Матери Казанская;60.918078;34.061994
13282;Церковь Николая II Царя-страстотерпца в Никольском;церковь;1998;1998-2000: Кулакова Г. М.;действ.;Ленинградская обл., Тосненский р-н, г. Никольское, Советский пр., 8;Деревянная церковь, неплохая стилизация памятников XVII в. Построена в 1998-2000, в основном на средства Колпинского пищевого комбината (директор В. В. Гусев). Представляет собой клетский храм с многообломной кровлей, с трапезной, над западной частью которой поставлена шатровая звонница, и галереей-гульбищем. До сент. 2013 была приписана к Феодоровскому собору в Царском Селе, теперь имеет самостоятельный приход.;Николая II Царя-страстотерпца;59.700399;30.783847
13384;Церковь Николая Чудотворца в Никольском;церковь;1999;нет данных;действ.;Ленинградская обл., Тосненский р-н, г. Никольское, Октябрьская ул., 17;Церковь, устроенная в 1999-2001 на новом месте, в пристройке к панельному дому, предназначавшейся для магазина. В 2000-х получила черты церковного здания, сооружен купол.;Николая Чудотворца;59.698464;30.779003
18530;Церковь Николая Чудотворца в Никольском;церковь;1719;1775-1784: Старов И. Е.;сохр.;Ленинградская обл., Гатчинский р-н, с. Никольское;Церковь в стиле классицизма, сооруженная в 1775-1784 как усадебная на средства П. Г. Демидова. Выстроена из известняковых блоков, часть сводов кирпичная. Однокупольный храм с трапезной и трехъярусной колокольней. Закрыта в 1940. К 1980-м в аварийном состоянии, купол рухнул в 1990-х. Сейчас в руинированном состоянии.;Николая Чудотворца;59.461355;29.993269
18531;Церковь Николая Чудотворца в Никольском (новая);церковь;1995;нет данных;действ.;Ленинградская обл., Гатчинский р-н, с. Никольское;Небольшая церковь со звонницей, устроенная в 1995 в приспособленном деревянном здании в связи с невозможностью скорого восстановления старой церкви.;Николая Чудотворца;59.461202;29.992966
30242;Часовня в Никулинской;часовня;;нет данных;действ.;Ленинградская обл., Подпорожский р-н, д. Никулинская, ул. Успенская;;;60.464943;34.829588
